genus,temp,relative_abundance,Family,Order,Class,Phylum
Acidisarcina,10.9,0.000242718,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Acidobacteriaceae,10.9,7.77363184079602e-05,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Acidobacteriaceae,9,5.162089613875697e-05,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Acidobacterium,10.9,0.000242718,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Acidobacterium,9,0.000103242,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Edaphobacter,10.9,7.77363184079602e-05,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Granulicella,9,0.000309725,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Granulicella,10.9,0.000242718,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Granulicella,10.9,0.000155473,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Terriglobus,9,0.000103242,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Actinomyces,9,0.000103242,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Actinomyces,10.9,7.77363184079602e-05,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Georgenia,10.9,7.77363184079602e-05,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Georgenia,10.9,0.000242718,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Trueperella,10.9,7.77363184079602e-05,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Caproiciproducens,10.9,7.77363184079602e-05,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A
Caproiciproducens,9,0.000103242,Acutalibacteraceae,Oscillospirales,Clostridia,Firmicutes_A
Jeotgalibaca,10.9,7.77363184079602e-05,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes
Aeromonas,9,0.001084039,Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Aeromonas,10.9,0.000699627,Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Aeromonas,10.9,0.000728155,Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Dongshaea,10.9,7.77363184079602e-05,Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Oceanisphaera,9,5.162089613875697e-05,Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Zobellella,10.9,7.77363184079602e-05,Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Nordella,9,0.000103242,Aestuariivirgaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Nordella,10.9,7.77363184079602e-05,Aestuariivirgaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Ahniella,10.9,7.77363184079602e-05,Ahniellaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Ahniella,9,5.162089613875697e-05,Ahniellaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Akkermansia,9,0.000103242,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobiota
Luteolibacter,9,5.162089613875697e-05,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobiota
Alcaligenaceae,9,0.000309725,Alcaligenaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Alcaligenaceae,10.9,7.77363184079602e-05,Alcaligenaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Alcanivorax,10.9,0.000544154,Alcanivoracaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Alcanivorax,9,0.000309725,Alcanivoracaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Alcanivorax,10.9,0.000242718,Alcanivoracaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Alteromonas,9,0.000103242,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Colwellia,10.9,0.000155473,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Pseudoalteromonas,9,0.000206484,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Rheinheimera,10.9,7.77363184079602e-05,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salinimonas,9,0.000103242,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Virgibacillus,10.9,7.77363184079602e-05,Amphibacillaceae,Bacillales_D,Bacilli,Firmicutes
Anaerohalosphaera,10.9,7.77363184079602e-05,Anaerohalosphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota
Pelolinea,10.9,7.77363184079602e-05,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexota
Anaeromyxobacter,9,5.162089613875697e-05,Anaeromyxobacteraceae,Myxococcales,Myxococcia,Myxococcota
Anaeromyxobacter,10.9,0.000155473,Anaeromyxobacteraceae,Myxococcales,Myxococcia,Myxococcota
Ehrlichia,9,0.000103242,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria
Wolbachia,9,5.162089613875697e-05,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria
Aquaspirillum,9,5.162089613875697e-05,Aquaspirillaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Laribacter,9,0.000206484,Aquaspirillaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Aquisalimonas,9,5.162089613875697e-05,Aquisalimonadaceae,Nitrococcales,Gammaproteobacteria,Proteobacteria
Archaeoglobus,10.9,7.77363184079602e-05,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Halobacteriota
Talaromyces,10.9,0.00631068,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Talaromyces,10.9,0.000544154,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Talaromyces,9,5.162089613875697e-05,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Aurantimonadaceae,9,5.162089613875697e-05,Aurantimonadaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Azospirillum,9,0.003148875,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Azospirillum,10.9,0.003264925,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Azospirillum,10.9,0.002427184,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Indioceanicola,9,0.000464588,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Indioceanicola,10.9,0.000388682,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Nitrospirillum,10.9,0.000466418,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Nitrospirillum,10.9,0.000242718,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Nitrospirillum,9,0.000309725,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Niveispirillum,9,0.000309725,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Niveispirillum,10.9,0.000485437,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Niveispirillum,10.9,7.77363184079602e-05,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Skermanella,9,0.000361346,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Skermanella,10.9,0.000388682,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Skermanella,10.5,0.003921569,Azospirillaceae,Azospirillales,Alphaproteobacteria,Proteobacteria
Bacillaceae,9,0.000206484,Bacillaceae,Bacillales,Bacilli,Firmicutes
Bacteroides,10.9,7.77363184079602e-05,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota
Bacteroides,9,0.000258104,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota
Bacteroides,10.9,0.000485437,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota
Bdellovibrio,9,5.162089613875697e-05,Bdellovibrionaceae,Bdellovibrionales,Bdellovibrionia,Bdellovibrionota
Beijerinckia,9,0.000103242,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Beijerinckia,10.9,0.000233209,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Chelatococcus,10.9,0.000485437,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Chelatococcus,10.9,0.000233209,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Chelatococcus,9,0.000309725,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Lichenihabitans,9,0.000412967,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Lichenihabitans,10.9,0.000155473,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Lichenihabitans,10.9,0.000242718,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylobacterium,9,0.002168078,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylobacterium,10.9,0.001943408,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylobacterium,10.9,0.000728155,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylocella,9,0.00056783,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylocella,10.9,0.000621891,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylocella,10.9,0.000485437,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylocystis,10.9,0.000777363,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylocystis,9,0.000258104,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylosinus,10.9,0.000242718,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylosinus,9,0.000206484,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylosinus,10.9,0.000155473,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylovirgula,9,0.000258104,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylovirgula,10.9,0.000485437,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Methylovirgula,10.9,0.000155473,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Microvirga,9,0.000361346,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Microvirga,10.9,0.000777363,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Haloactinobacterium,9,5.162089613875697e-05,Beutenbergiaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Haloactinobacterium,10.9,7.77363184079602e-05,Beutenbergiaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Pseudactinotalea,9,0.000103242,Beutenbergiaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Bifidobacterium,10.9,0.000544154,Bifidobacteriaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Bifidobacterium,9,0.000103242,Bifidobacteriaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Bradymonas,10.9,7.77363184079602e-05,Bradymonadaceae,Bradymonadales,Bradymonadia,Myxococcota
Bradyrhizobiaceae,9,0.000361346,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Bradyrhizobiaceae,10.9,0.000310945,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Bradyrhizobiaceae,10.9,0.000242718,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Oligotropha,9,0.000103242,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Oligotropha,10.9,0.000155473,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Brevibacillus,10.9,7.77363184079602e-05,Brevibacillaceae,Brevibacillales,Bacilli,Firmicutes
Brevibacterium,10.9,0.000310945,Brevibacteriaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Brevibacterium,10.9,0.000242718,Brevibacteriaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Achromobacter,9,0.001445385,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Achromobacter,10.9,0.001088308,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Achromobacter,10.9,0.001213592,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Acidovorax,9,0.001651869,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Acidovorax,10.9,0.001941748,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Acidovorax,10.9,0.001554726,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Alcaligenes,10.9,0.000155473,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Alcaligenes,9,5.162089613875697e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Algicoccus,9,0.000154863,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Alicycliphilus,9,0.000258104,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Alicycliphilus,10.9,0.000155473,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Alicycliphilus,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Aquabacterium,10.9,0.000310945,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Aquabacterium,9,0.000361346,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Bordetella,9,0.001393764,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Bordetella,10.9,0.001321517,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Bordetella,10.9,0.001699029,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Burkholderia,10.9,0.004197761,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Burkholderia,9,0.00402643,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Burkholderia,10.9,0.002912621,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Burkholderia,9.3,0.001851852,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Burkholderiaceae,10.9,0.001166045,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Burkholderiaceae,9,0.000412967,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Burkholderiaceae,10.9,0.000485437,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Caballeronia,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Caballeronia,9,0.000412967,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Caballeronia,10.9,7.77363184079602e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Castellaniella,10.9,0.000233209,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Collimonas,10.9,0.000621891,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Collimonas,9,0.000103242,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Collimonas,10.9,0.000485437,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Comamonas,10.9,0.000699627,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Comamonas,9,0.000464588,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Comamonas,10.9,0.001213592,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Cupriavidus,10.9,0.002487562,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Cupriavidus,9,0.002271319,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Cupriavidus,10.9,0.000485437,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Diaphorobacter,10.9,0.000544154,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Diaphorobacter,9,0.000774313,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Duganella,10.9,0.000310945,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Duganella,9,0.000412967,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Herbaspirillum,10.9,0.0008551,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Herbaspirillum,9,0.00056783,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Herbaspirillum,10.9,0.001213592,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Hydrogenophaga,9,0.000929176,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Hydrogenophaga,10.9,0.000728155,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Hydrogenophaga,10.9,0.000699627,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Inhella,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Janthinobacterium,9,0.000619451,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Janthinobacterium,10.9,0.000388682,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Kerstersia,9,0.000103242,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Kerstersia,10.9,0.000155473,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Kinneretia,9,0.000154863,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Kinneretia,10.9,7.77363184079602e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Kinneretia,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Limnobacter,9,5.162089613875697e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Limnohabitans,10.9,0.000233209,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Limnohabitans,9,5.162089613875697e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Limnohabitans,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Massilia,9,0.000929176,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Massilia,10.9,0.001456311,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Massilia,10.9,0.001010572,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Melaminivora,10.9,0.000485437,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Methylibium,10.9,0.000388682,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Methylibium,9,0.000154863,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Mitsuaria,9,0.000154863,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Mitsuaria,10.9,7.77363184079602e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Mycetohabitans,10.9,0.000155473,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Mycoavidus,9,0.000103242,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Mycoavidus,10.9,7.77363184079602e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Noviherbaspirillum,10.9,7.77363184079602e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Ottowia,10.9,0.000233209,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Ottowia,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Ottowia,9,5.162089613875697e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pandoraea,9,0.00113566,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pandoraea,10.9,0.000728155,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pandoraea,10.9,0.001088308,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Paraburkholderia,9,0.001238902,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Paraburkholderia,10.9,0.002098881,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Paraburkholderia,10.9,0.001456311,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Paucibacter,10.9,7.77363184079602e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
