genus,temp,relative_abundance
Tardiphaga,9.0,0.00020648358455502787
Limnobacter,9.0,5.162089613875697e-05
Burkholderia,9.0,0.0040264298988230435
Pseudodesulfovibrio,9.0,5.162089613875697e-05
Stappia,9.0,0.0001548626884162709
Thiomonas,9.0,0.0028391492876316334
Rhizobiaceae,9.0,0.00025810448069378485
Xanthomonadaceae,9.0,0.0005678298575263267
Stenotrophomonas,9.0,0.00170348957257898
Gammaproteobacteria,9.0,0.0021680776378277928
Verminephrobacter,9.0,0.0001548626884162709
Serinicoccus,9.0,0.00010324179227751394
Pandoraea,9.0,0.0011356597150526534
Rhodospirillum,9.0,0.0003613462729712988
Roseococcus,9.0,0.0007226925459425976
Sorangium,9.0,0.00020648358455502787
Pseudolabrys,9.0,0.00046458806524881275
Ralstonia,9.0,0.0012905224034689242
Microterricola,9.0,0.00010324179227751394
Gluconacetobacter,9.0,0.0012389015073301672
unclassified,9.0,0.0038199463142680155
Corynebacterium,9.0,0.00020648358455502787
Luteimonas,9.0,0.00046458806524881275
Variibacter,9.0,0.00020648358455502787
Methylobacteriaceae,9.0,0.0003097253768325418
Protaetiibacter,9.0,0.00010324179227751394
Salaquimonas,9.0,0.00020648358455502787
Blastochloris,9.0,0.0003613462729712988
Yersinia,9.0,0.0001548626884162709
Rugosibacter,10.9,0.00024271844660194174
Bradyrhizobium,10.9,0.0036407766990291263
Enterobacteriaceae,10.9,0.007524271844660194
Talaromyces,10.9,0.006310679611650485
Acidovorax,9.0,0.001651868676440223
Roseomonas,9.0,0.0020132149494115218
Sphingobium,9.0,0.0025294239107990914
Halioglobus,9.0,0.00010324179227751394
Aurantimonadaceae,9.0,5.162089613875697e-05
Salinisphaera,9.0,0.00020648358455502787
Aquitalea,9.0,0.00041296716911005574
Thalassospira,9.0,0.00020648358455502787
Acetobacter,9.0,0.0025810448069378484
Roseovarius,9.0,0.0009291761304976255
Chitinolyticbacter,9.0,5.162089613875697e-05
Lacinutrix,9.0,5.162089613875697e-05
Chromobacterium,9.0,0.0008775552343588685
Thauera,9.0,0.0006194507536650836
Janibacter,10.9,0.0001554726368159204
Pararhodospirillum,10.9,0.0002332089552238806
Thalassobius,10.9,0.0001554726368159204
Thermosynechococcus,10.9,0.0001554726368159204
Neorhizobium,9.0,0.0005162089613875697
Caulobacteraceae,9.0,0.0003097253768325418
Dokdonella,9.0,0.00020648358455502787
Methylocella,9.0,0.0005678298575263267
Homo,9.8,0.11855670103092783
Cupriavidus,9.0,0.0022713194301053068
Herbaspirillum,10.9,0.0008550995024875622
Desulfovibrio,10.9,0.0003109452736318408
Diaphorobacter,10.9,0.0005441542288557214
Granulibacter,10.9,0.003031716417910448
Indioceanicola,10.9,0.000388681592039801
Methylibium,10.9,0.000388681592039801
Paracoccus,10.9,0.002720771144278607
Bacillus,9.0,0.00025810448069378485
Mucilaginibacter,10.9,7.77363184079602e-05
Hypericibacter,10.9,0.0004854368932038835
Acetobacter,10.9,0.0012135922330097086
Bordetella,9.0,0.0013937641957464382
Granulibacter,9.0,0.0020132149494115218
Pelagibaca,9.0,0.00010324179227751394
Rhodospirillaceae,9.0,0.0003613462729712988
Synechococcus,9.0,0.0005678298575263267
Gluconobacter,9.0,0.001548626884162709
Xenorhabdus,9.0,0.00020648358455502787
endosymbiont,9.0,0.0001548626884162709
Mycoavidus,9.0,0.00010324179227751394
Acetobacteraceae,9.0,0.0028391492876316334
Massilia,9.0,0.0009291761304976255
Serpentinomonas,9.0,5.162089613875697e-05
Methylotenera,9.0,5.162089613875697e-05
Diaphorobacter,9.0,0.0007743134420813545
Thioalkalivibrio,9.0,0.0007743134420813545
Rhodoferax,9.0,0.0007743134420813545
Sphingomonadales,9.0,0.00046458806524881275
Ramlibacter,9.0,0.00020648358455502787
Hypericibacter,9.0,0.0007743134420813545
Parasphingopyxis,9.0,0.0001548626884162709
Azoarcus,9.0,0.0010324179227751394
Thioclava,9.0,5.162089613875697e-05
Microvirga,9.0,0.0003613462729712988
Mycoplasma,9.0,0.0001548626884162709
Serratia,9.0,0.0008775552343588685
Xanthobacter,9.0,0.00041296716911005574
Microbacteriaceae,9.0,0.00010324179227751394
Undibacterium,9.0,0.00025810448069378485
Sphaerotilus,9.0,0.00020648358455502787
Tardibacter,9.0,5.162089613875697e-05
Methylovirgula,9.0,0.00025810448069378485
Magnetospirillum,9.0,0.0008775552343588685
Nocardia,9.0,0.0006194507536650836
Scandinavium,9.0,5.162089613875697e-05
Pseudorhodoplanes,9.0,0.00010324179227751394
Caulobacter,9.0,0.0013421432996076812
Xylella,9.0,0.00020648358455502787
Variovorax,9.0,0.0013937641957464382
Ruegeria,9.0,5.162089613875697e-05
Rugosibacter,9.0,0.00010324179227751394
Paraurantiacibacter,9.0,0.00010324179227751394
Asticcacaulis,9.0,0.00010324179227751394
Defluviicoccus,9.0,0.00046458806524881275
Bifidobacterium,9.0,0.00010324179227751394
Saccharothrix,9.0,0.00010324179227751394
Thermomonas,9.0,0.00025810448069378485
Devosia,10.9,0.0007281553398058253
Methylovirgula,10.9,0.0004854368932038835
Buchnera,9.0,0.0001548626884162709
Delftia,9.0,0.0006194507536650836
Desulfovibrio,9.0,0.0003097253768325418
Alcaligenaceae,9.0,0.0003097253768325418
Acidovorax,10.9,0.001941747572815534
Acidithiobacillus,10.9,0.002669902912621359
Mycobacterium,10.9,0.021359223300970873
Sphingobium,10.9,0.002669902912621359
Baekduia,10.9,0.00024271844660194174
Homo,10.9,0.028640776699029126
Betaproteobacteria,10.9,0.000970873786407767
Rhodovulum,10.9,0.0007281553398058253
Pseudolabrys,10.9,0.00024271844660194174
Verminephrobacter,10.9,0.0004854368932038835
Methylobacterium,10.9,0.0007281553398058253
Casimicrobium,9.0,0.00020648358455502787
Brevibacterium,10.9,0.0003109452736318408
Rhizobium,10.9,0.003653606965174129
Rhodospirillales,10.9,0.0004664179104477612
Nocardioides,10.9,0.0008550995024875622
Methylovulum,10.9,0.0001554726368159204
Mixta,10.9,0.0001554726368159204
Mycobacteroides,10.9,0.0002332089552238806
Blastomonas,10.9,7.77363184079602e-05
Orrella,10.9,0.0002332089552238806
Herbaspirillum,9.0,0.0005678298575263267
Burkholderiaceae,9.0,0.00041296716911005574
Thiosulfativibrio,10.9,7.77363184079602e-05
Candidatus,10.9,0.0020988805970149254
Pantoea,10.9,0.000388681592039801
Pseudonocardiaceae,9.0,5.162089613875697e-05
Desulfuromonas,9.0,5.162089613875697e-05
Streptacidiphilus,9.0,0.0003613462729712988
Malassezia,9.0,0.00010324179227751394
Celeribacter,9.0,0.0003613462729712988
Actinomyces,9.0,0.00010324179227751394
Salipiger,9.0,0.0001548626884162709
Bacteroides,9.0,0.00025810448069378485
Micromonospora,9.0,0.0001548626884162709
Pusillimonas,9.0,0.00010324179227751394
Listeria,9.0,5.162089613875697e-05
Lysobacter,9.0,0.0005162089613875697
Bacillaceae,9.0,0.00020648358455502787
Chromohalobacter,9.0,0.00020648358455502787
Mycolicibacillus,9.0,5.162089613875697e-05
Qipengyuania,9.0,0.0003613462729712988
Bartonella,9.0,5.162089613875697e-05
Dyella,9.0,0.0011872806111914102
Paenibacillus,9.0,0.00046458806524881275
Dinoroseobacter,9.0,0.00010324179227751394
Lichenihabitans,9.0,0.00041296716911005574
Methylococcus,9.0,0.0003097253768325418
Rhodobacteraceae,9.0,0.0005678298575263267
cellular,10.9,0.00024271844660194174
Acidobacteriaceae,10.9,7.77363184079602e-05
Paraurantiacibacter,10.9,0.0002332089552238806
Lichenihabitans,10.9,0.0001554726368159204
Mycolicibacter,10.9,0.0010105721393034825
Sulfurivermis,10.9,0.0006218905472636816
Magnetospirillum,10.9,0.0008550995024875622
Citrobacter,10.9,0.0003109452736318408
Sedimenticola,10.9,7.77363184079602e-05
Trueperella,10.9,7.77363184079602e-05
Paenibacillus,10.9,0.0004664179104477612
Asaia,10.9,0.0001554726368159204
Brachybacterium,10.9,0.0001554726368159204
Betaproteobacteria,10.9,0.001554726368159204
Yersiniaceae,10.9,7.77363184079602e-05
Marinobacter,10.9,0.0004664179104477612
Leisingera,10.9,0.0001554726368159204
Microbacterium,10.9,0.0003109452736318408
Acidovorax,10.9,0.001554726368159204
Aquitalea,10.9,0.0001554726368159204
Rugosibacter,10.9,0.0002332089552238806
Gordonia,10.9,0.0006218905472636816
Novosphingobium,10.9,0.000777363184079602
Pigmentiphaga,10.9,0.0002332089552238806
Bordetella,10.9,0.0013215174129353234
Agrobacterium,10.9,0.0013992537313432835
Erythrobacter,10.9,0.0003109452736318408
Chitinimonas,10.9,0.0004664179104477612
Ensifer,10.9,0.0002332089552238806
Rhodovulum,10.9,0.0002332089552238806
Microvirga,10.9,0.000777363184079602
Cobetia,10.9,0.0003109452736318408
Luteimonas,10.9,0.000388681592039801
Gammaproteobacteria,10.9,0.002643034825870647
Burkholderiales,10.9,0.002409825870646766
Hartmannibacter,10.9,0.0001554726368159204
Thermomonas,10.9,0.000777363184079602
Gallaecimonas,10.9,7.77363184079602e-05
Aeromonas,10.9,0.0006996268656716418
Rhodopseudomonas,10.9,0.001554726368159204
Bacteroidetes,10.9,7.77363184079602e-05
Aquabacterium,10.9,0.0003109452736318408
Azorhizobium,10.9,0.0005441542288557214
Corynebacterium,10.9,0.0006996268656716418
Asticcacaulis,10.9,0.0002332089552238806
Tabrizicola,10.9,0.000388681592039801
Nitrospirillum,10.9,0.0004664179104477612
Proteus,10.9,0.0006218905472636816
Malassezia,10.9,0.0001554726368159204
Brevundimonas,10.9,0.0017879353233830847
Coxiella,10.9,7.77363184079602e-05
Thioalkalivibrio,10.9,0.0002332089552238806
Rhodospirillum,10.9,0.0004854368932038835
Blastochloris,10.9,0.0004854368932038835
Hyphobacterium,9.0,0.0001548626884162709
Candidatus,9.0,0.001548626884162709
Arsenicicoccus,9.0,0.00010324179227751394
Methylovorus,9.0,0.00025810448069378485
Parvibaculum,9.0,0.00010324179227751394
Beijerinckia,9.0,0.00010324179227751394
Vibrio,9.0,0.0005678298575263267
Ferriphaselus,9.0,0.00020648358455502787
Sulfurimicrobium,9.0,0.00041296716911005574
Sphingosinithalassobacter,9.0,0.0003613462729712988
Massilia,10.9,0.0014563106796116505
unclassified,10.9,0.0031553398058252425
Thiomonas,10.9,0.009466019417475728
Ralstonia,10.9,0.000970873786407767
Pandoraea,10.9,0.0007281553398058253
Sphingopyxis,10.9,0.0004854368932038835
Pseudomonas,10.9,0.00558252427184466
Shigella,10.9,0.005825242718446602
Herbaspirillum,10.9,0.0012135922330097086
Immundisolibacter,10.9,0.0002332089552238806
Paraburkholderia,10.9,0.0020988805970149254
Actinosynnema,10.9,7.77363184079602e-05
Halothiobacillus,9.0,0.00041296716911005574
Shewanella,9.0,0.0003097253768325418
Confluentimicrobium,9.0,0.0003613462729712988
Mycobacterium,9.3,0.005555555555555556
Pseudogulbenkiania,9.0,0.0001548626884162709
Alicycliphilus,9.0,0.00025810448069378485
Pseudoalteromonas,9.0,0.00020648358455502787
Brevundimonas,9.0,0.0013421432996076812
Novosphingopyxis,9.0,0.00010324179227751394
Neoasaia,9.0,0.0005162089613875697
Sphingomonadaceae,10.9,0.0006996268656716418
Corallococcus,10.9,0.0001554726368159204
Ligilactobacillus,10.9,7.77363184079602e-05
Paraoceanicella,10.9,0.000388681592039801
Clostridium,10.9,0.0001554726368159204
Pandoraea,10.9,0.0010883084577114428
Salipiger,10.9,0.0001554726368159204
Oecophyllibacter,10.9,0.0006218905472636816
Pseudogulbenkiania,10.9,0.0003109452736318408
Proteobacteria,10.9,0.011893203883495145
Aeromonas,10.9,0.0007281553398058253
Baekduia,9.0,5.162089613875697e-05
Microlunatus,9.0,0.0001548626884162709
Aquisalimonas,9.0,5.162089613875697e-05
Polaromonas,9.0,0.00025810448069378485
Methylomicrobium,9.0,0.0003613462729712988
Methyloceanibacter,9.0,0.0001548626884162709
Salinivibrio,9.0,5.162089613875697e-05
Rhodanobacter,9.0,0.0013421432996076812
Xanthomonas,9.0,0.0019099731571340078
Methylosinus,10.9,0.00024271844660194174
Sulfuritortus,9.0,0.00010324179227751394
Citricoccus,10.9,7.77363184079602e-05
cellular,9.3,0.003703703703703704
Rhodoferax,10.9,0.0007281553398058253
Brucella,10.9,0.0007281553398058253
Thermothelomyces,10.9,0.0014563106796116505
Acinetobacter,10.9,0.002184466019417476
Mycolicibacterium,10.9,0.006067961165048544
Azoarcus,10.9,0.000970873786407767
Ferrovibrio,10.9,0.00024271844660194174
Xanthomonadaceae,10.9,0.0007281553398058253
Rhodococcus,9.0,0.0005162089613875697
Hahella,9.0,0.00010324179227751394
Alkalilimnicola,9.0,0.00010324179227751394
Gemmobacter,9.0,0.0001548626884162709
Proteus,9.0,0.0001548626884162709
Bosea,9.0,0.0010840388189138964
Salicibibacter,9.0,5.162089613875697e-05
Deinococcus,9.0,0.00041296716911005574
Streptococcus,9.0,0.0001548626884162709
Hoeflea,9.0,5.162089613875697e-05
Comamonas,9.0,0.00046458806524881275
Sphingomonadaceae,9.0,0.0005678298575263267
Niveispirillum,9.0,0.0003097253768325418
Pontivivens,9.0,0.0003097253768325418
Simplicispira,9.0,5.162089613875697e-05
Anaeromyxobacter,9.0,5.162089613875697e-05
Hafnia,9.0,0.0001548626884162709
Pannonibacter,9.0,0.0001548626884162709
Oricola,9.0,0.00010324179227751394
Sulfurivermis,9.0,0.00041296716911005574
Granulicella,9.0,0.0003097253768325418
Singulisphaera,9.0,5.162089613875697e-05
root,8.8,0.15772870662460567
Dechloromonas,10.9,0.0001554726368159204
Acinetobacter,10.9,0.0020988805970149254
Kozakia,10.9,0.0003109452736318408
Cardiobacterium,10.9,0.0003109452736318408
Acidihalobacter,10.9,0.0003109452736318408
Ferriphaselus,10.9,0.0006218905472636816
Proteus,10.9,0.005339805825242718
Mitsuaria,9.0,0.0001548626884162709
Modestobacter,9.0,0.00010324179227751394
Sandaracinobacter,9.0,0.00020648358455502787
Citrobacter,9.0,0.00020648358455502787
Thiohalobacter,9.0,0.0003613462729712988
Martelella,9.0,0.0010840388189138964
Ramlibacter,10.9,0.000970873786407767
Methanothermococcus,10.9,0.00024271844660194174
Paracoccus,10.9,0.0012135922330097086
Niveispirillum,10.9,0.0004854368932038835
Edwardsiella,10.9,0.00024271844660194174
Roseomonas,10.9,0.0024271844660194173
Rhizobiales,10.9,0.0012135922330097086
Marichromatium,10.9,0.00024271844660194174
Granulibacter,10.9,0.001941747572815534
Acidisarcina,9.0,0.00025810448069378485
Pseudoxanthomonas,9.0,0.0003613462729712988
Breoghania,9.0,0.00041296716911005574
Jeongeupia,9.0,0.00041296716911005574
Chitinibacter,9.0,0.00020648358455502787
Nitrosospira,9.0,0.00041296716911005574
Leptothrix,9.0,0.00046458806524881275
Lonsdalea,10.9,0.0001554726368159204
Sphingopyxis,10.9,0.001554726368159204
Janthinobacterium,10.9,0.000388681592039801
Alloactinosynnema,10.9,7.77363184079602e-05
Altererythrobacter,10.9,0.0004664179104477612
Ndongobacter,10.9,7.77363184079602e-05
Haematobacter,10.9,7.77363184079602e-05
Roseococcus,10.9,0.000777363184079602
Caulobacteraceae,10.9,0.0001554726368159204
Corynebacteriales,10.9,0.0009328358208955224
Capnocytophaga,9.0,0.00010324179227751394
Casimicrobium,10.9,0.0001554726368159204
Synechococcus,10.9,0.000388681592039801
Oecophyllibacter,10.9,0.0012135922330097086
Schlegelella,10.9,0.0004854368932038835
Schaalia,10.9,0.0002332089552238806
Alphaproteobacteria,10.9,0.007766990291262136
Caballeronia,10.9,0.00024271844660194174
Thermotoga,9.0,0.00010324179227751394
Halorubrum,9.0,0.00010324179227751394
Skermanella,9.0,0.0003613462729712988
Caballeronia,9.0,0.00041296716911005574
Micromonospora,10.9,0.0004854368932038835
Chitinolyticbacter,10.9,0.0002332089552238806
Delftia,10.9,0.000970873786407767
Gluconacetobacter,10.9,0.0004854368932038835
Egibacter,10.9,0.00024271844660194174
Methylomicrobium,10.9,0.0004854368932038835
Glycocaulis,10.9,0.0004854368932038835
Brevundimonas,10.9,0.0016990291262135922
Rhodanobacter,10.9,0.00024271844660194174
Nitrospirillum,10.9,0.00024271844660194174
Klebsiella,10.9,0.000970873786407767
Hydrogenophaga,10.9,0.0007281553398058253
Methylomonas,10.9,0.0002332089552238806
Magnetospirillum,10.9,0.000970873786407767
Rhodococcus,10.9,0.0010105721393034825
Tardibacter,10.9,0.0001554726368159204
Salmonella,10.7,0.009174311926605505
Rheinheimera,10.9,7.77363184079602e-05
Rickettsia,10.9,0.0003109452736318408
Botrytis,9.3,0.007407407407407408
Mycobacteriaceae,10.9,0.0012135922330097086
Nocardia,10.9,0.000970873786407767
Sulfuritortus,10.9,0.00024271844660194174
Malassezia,10.5,0.00392156862745098
Kaistia,10.9,0.0001554726368159204
Blastochloris,10.9,0.0006218905472636816
Pannonibacter,10.9,0.000388681592039801
Methylocella,10.9,0.0006218905472636816
Pelagibaca,10.9,0.000388681592039801
pseudomallei,10.9,0.000388681592039801
Nitrosomonas,10.9,0.000388681592039801
Collimonas,10.9,0.0006218905472636816
Breoghania,10.9,0.00024271844660194174
Helicobacter,10.9,0.0004854368932038835
Steroidobacter,10.9,0.0006218905472636816
Staphylococcus,10.9,7.77363184079602e-05
Sphingosinicella,9.0,0.0001548626884162709
Immundisolibacter,9.0,0.00020648358455502787
Chelativorans,9.0,0.00020648358455502787
Thermothelomyces,9.3,0.003703703703703704
Roseovarius,10.9,0.0007281553398058253
Polynucleobacter,10.9,0.00024271844660194174
Spirochaeta,10.9,0.00024271844660194174
Nocardioides,9.0,0.0006710716498038406
Terricaulis,9.0,0.0003097253768325418
Nitrospirillum,9.0,0.0003097253768325418
Vibrio,10.9,0.00024271844660194174
Achromobacter,10.9,0.0012135922330097086
Neptunomonas,9.3,0.001851851851851852
Chloracidobacterium,10.9,0.0001554726368159204
Cyanothece,9.0,5.162089613875697e-05
Ferrimonas,9.0,5.162089613875697e-05
Bacilli,9.0,5.162089613875697e-05
Gallionella,9.0,5.162089613875697e-05
Oscillospiraceae,9.0,5.162089613875697e-05
Salmonella,9.3,0.016666666666666666
Kiritimatiella,9.3,0.001851851851851852
Rubrivivax,9.0,0.00025810448069378485
Neisseria,9.0,0.0003613462729712988
Nakamurella,9.0,0.00010324179227751394
Terriglobus,9.0,0.00010324179227751394
Collimonas,9.0,0.00010324179227751394
Kinneretia,9.0,0.0001548626884162709
Methylocaldum,9.0,0.00025810448069378485
Pseudonocardia,9.0,0.00020648358455502787
Pelagerythrobacter,9.0,0.0003097253768325418
Aminobacter,9.0,0.00020648358455502787
Luteitalea,9.0,0.00010324179227751394
Phycicoccus,9.0,0.00010324179227751394
Emcibacter,9.0,0.00025810448069378485
Labrenzia,9.0,0.00025810448069378485
Wenzhouxiangella,9.0,0.0001548626884162709
Oligotropha,9.0,0.00010324179227751394
Thioclava,10.9,0.0002332089552238806
Staphylococcus,9.0,0.00020648358455502787
Mobilicoccus,9.0,0.00010324179227751394
Muricauda,9.0,0.00010324179227751394
Micavibrio,10.9,7.77363184079602e-05
Adlercreutzia,10.9,7.77363184079602e-05
Skermanella,10.9,0.000388681592039801
Martelella,10.9,0.0006218905472636816
Phenylobacterium,10.9,0.000388681592039801
Swingsia,10.9,0.0001554726368159204
Xanthobacter,10.9,0.000777363184079602
Caulobacter,10.9,0.001554726368159204
Ralstonia,10.9,0.0013215174129353234
Pseudonocardia,10.9,0.0003109452736318408
Rhizobiaceae,10.9,0.0002332089552238806
Komagataeibacter,10.9,0.0012135922330097086
Rhodococcus,10.9,0.001941747572815534
Marinobacterium,9.0,0.00010324179227751394
Erythrobacter,9.0,0.0003613462729712988
Rhizorhabdus,9.0,0.00025810448069378485
Nitrospira,9.0,0.00010324179227751394
